location_id,name,latitude,longitude,num_reviews,rating,neighborhoods,address_obj,address
3842321,Artist Sayed El Bibany Atelier,0,0,0,0,darb el ahmar,"{'street1': '45 El Doudeya St. Bab El Khalk', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","45 El Doudeya St. Bab El Khalk, Cairo 11511 Egypt"
3842315,Falaki Gallery,30.0387,31.234634,0,0,qasr el nile,"{'street1': '113 Kasr El Ainy St.', 'street2': 'Downtown', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","113 Kasr El Ainy St. Downtown, Cairo 11511 Egypt"
3842307,Kamilia Art,30.04883,31.23994,0,0,abdin,"{'street1': '8 El Borsa El Gadida St. Off Kasr El Nil st.', 'street2': 'Downtown', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","8 El Borsa El Gadida St. Off Kasr El Nil st. Downtown, Cairo 11511 Egypt"
3842289,El Batal Gallery,30.127563,31.327087,0,0,ain shams,"{'street1': '76 Ahmed Essmat St.', 'street2': 'Ain Shams', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","76 Ahmed Essmat St. Ain Shams, Cairo 11511 Egypt"
3840323,Egyptian Arts Gallery,0,0,0,0,qasr el nile,"{'street1': '5 Abdel Qader Hamza St. Off Corniche El Nil', 'street2': 'Garden City', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","5 Abdel Qader Hamza St. Off Corniche El Nil Garden City, Cairo 11511 Egypt"
3840320,Modern Nefertiti,30.0213,31.22589,0,0,Misr al qadima,"{'street1': '69 Manial St.', 'street2': 'El Manyal', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","69 Manial St. El Manyal, Cairo 11511 Egypt"
3840310,Salma Art,30.14779,31.42039,0,0,an-nuzhah,"{'street1': '17 El Taamir Bldgs', 'street2': 'Maadi', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","17 El Taamir Bldgs Maadi, Cairo 11511 Egypt"
3840263,Orabi Gallery,30.12671,31.37477,0,0,an-nuzhah,"{'street1': '4 El Sheikh Mohamed Salama St.', 'street2': 'Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","4 El Sheikh Mohamed Salama St. Heliopolis, Cairo 11511 Egypt"
3838119,El Salamlek Art Gallery,0,0,0,0,maadi,"{'street1': '216 61 Rd. 206 Intersection of Rd.', 'street2': 'Maadi', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","216 61 Rd. 206 Intersection of Rd. Maadi, Cairo 11511 Egypt"
3838076,Gauguin Gallery,30.06952,31.22146,0,0,Zamalek,"{'street1': '8 Samir Zaky St.', 'street2': 'Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","8 Samir Zaky St. Zamalek, Cairo 11511 Egypt"
3838033,Art Gallery,30.04845,31.25301,0,0,al-muski,"{'street1': '3 Housh El Fahm, off Azhar St.', 'street2': 'Ataba', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","3 Housh El Fahm, off Azhar St. Ataba, Cairo 11511 Egypt"
3838020,Bait Shoury Gallery,30.08718,31.28842,0,0,hadaiq al qubbah,"{'street1': '1 El Sheikh Ghorab St. Hadayek', 'street2': 'El Kobba', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","1 El Sheikh Ghorab St. Hadayek El Kobba, Cairo 11511 Egypt"
